Category,Question,Image url,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Correct Answer,Correct Letter,Claude-3.5-Sonnet,GPT-4o,Gemini-2.0-Flash
Chirurgia digestiva e generale,"Uomo di 40 anni senza interesse. Per 4 settimane, un'immagine di deposizioni di diarrea, associata a ittero in pelle e mucose, coluria, ipocolia e dolore nell'ipocondrio destro, accompagnata dalla perdita di peso (10 kg di circa) e dal prurito intenso. Nell'analisi si distingue: bilirubina totale: 15,3 mg/dl. Alanina-aminotransferasi: 70 U/L Aspartataaminotransferasi: 85 U/1. Serologia per epatite negativa ed elevazione di CA 19-9. Viene eseguito TC addominale. Sono mostrate 3 sezioni assiali. In relazione ai risultati del test radiologico, quale delle seguenti affermazioni è vera?",https://compitoinclasse.org/simulatori/IMGmir/692-dom.jpg,Una massa tumorale si osserva nella testa del pancreas che condiziona la dilatazione biliare e duttale compatibile con adenocarcinoma.,Presenza di grasso diffuso del pancreas con Wirsung arrosariado compatibile con pancreatite linfoplasmocita.,Una massa tumorale viene identificata in infundibolo vescicolare compatibile con adenocarcinoma vescicolare.,L'adenopatie tumorali voluminose sono osservate nell'hilum epatico che produce dilatazione del dotto biliare.,Presenza di lesioni focali epatiche multiple compatibili con metastasi epatiche diffuse.,Una massa tumorale si osserva nella testa del pancreas che condiziona la dilatazione biliare e duttale compatibile con adenocarcinoma.,A,A,A,A
Chirurgia digestiva e generale,"Paziente di 44 anni con lesioni (16x8x12 cm) di rapida crescita che interessa parti molli del terzo prossimale della coscia destra. Dice che ha iniziato a notare l'impasto, che ha una dura coerenza ed è attaccato a piani profondi, negli ultimi 6 mesi. Di solito giocava a sport, avendo finito una maratona. Si osserva l'esplorazione della circolazione collaterale, ma le adenopatie inguinali giuste non sono palpate. Dopo la biopsia è confermato che si tratta di un sarcomorfico pleomorfo di alto livello indifferente, che negli studi di immagine è prossimale al trocantere minore. L'estensione TC è negativa. Quale sarebbe il tuo atteggiamento terapeutico?:",https://compitoinclasse.org/simulatori/IMGmir/1810-dom.jpg,Hip sconvolto.,Trattamento con ifosfamide e tamoxifene per 6 cicli prima dell'intervento di resezione per ridurre le dimensioni della lesione.,Chirurgia marginale Rimozione di pseudocapsule che questi tumori di solito si formano in risposta alla loro rapida crescita.,Heipelvectomia modificata a destra.,,Heipelvectomia modificata a destra.,D,C,C,C
Chirurgia digestiva e generale,"Il paziente del caso precedente, essendo in remissione clinica e data l'elevazione persistente degli enzimi di colestasi viene diagnosticata 4 anni dopo della colangite sclerosante primaria mediante colangiosonanza magnetica; Quando dovrei iniziare a iniziare un programma di screening del carcinoma del colonscopia del colonscopia annuale?",https://compitoinclasse.org/simulatori/IMGmir/920-dom.jpg,"Alla solita era di screening nella popolazione generale, 50 anni.",10 anni prima dell'età abituale raccomandata per lo screening nella popolazione generale.,A 20 anni di evoluzione della malattia.,Tra gli 8 e i 10 anni di evoluzione della malattia.,Al momento della diagnosi di colangite sclerosante.,Al momento della diagnosi di colangite sclerosante.,E,E,E,E
Chirurgia digestiva e generale,Donna di 84 anni con una storia di colecistectomia che presenta dolore addominale e ittero. È stata eseguita una colangiopancreatografia endoscopica retrograda (CPRE). Qual è la diagnosi corretta?,https://compitoinclasse.org/simulatori/IMGmir/1154-dom.jpg,Sindrome di Mirizzi.,Pancreas neoplasia.,Coledocolitisis.,Stenosi post -chirurgica del dotto biliare.,,Coledocolitisis.,C,B,B,B
Chirurgia digestiva e generale,Paziente di 58 anni con clinica di piosi a lungo evoluta. Nell'immagine viene eseguita un'endoscopia digestiva elevata. Qual è la diagnosi più probabile?,https://compitoinclasse.org/simulatori/IMGmir/12-dom.jpg,Barrett Esofagus.,Esofagite peptica.,Esofagite eosinofila.,Malattia di Mallory-Weiss.,,Barrett Esofagus.,A,C,A,C
Infettivo e microbiologia,"Maschio di 32 anni che riceve pre-esposizione all'HIV. Consultazione per la presentazione per due giorni Procalgia intensa, affetto dello stato generale e febbre. Nell'esplorazione, le adenopatie inguinali sono palpate e si osservano le lesioni cutanee periani che sono mostrate nell'immagine. Qual è la diagnosi più probabile?:",https://compitoinclasse.org/simulatori/IMGmir/2190-dom.jpg,Monkey Smallpox,Herpes genitale,Sifilide primaria,Lesioni del cugino dell'HIV,,Monkey Smallpox,A,A,A,A
Infettivo e microbiologia,"L'uomo di 25 anni senza storia personale di interesse che va alla consultazione dermatologica perché per 4 settimane la comparsa di papule vellutate nell'area periana (immagine), asintomatica, che sono aumentate gradualmente. Quale delle seguenti diagnosi è molto probabilmente?:",https://compitoinclasse.org/simulatori/IMGmir/2393-dom.jpg,Il condiloma può,Mollusco contagiosum,Condiloma accumulato,Lican Flat,,Condiloma accumulato,C,D,D,D
Infettivo e microbiologia,"Maschio 56enne con una storia di infezione da HIV diagnosticata alcuni mesi fa, che si trova confuso, disorientato e con l'emiparesi destra. La famiglia si riferisce che presenta una significativa perdita di peso negli ultimi 6 mesi, nonché frequenti diarrea. Il trattamento antiretrovirale non è iniziato a causa del desiderio personale. L'analisi mostra un carico virale HIV-1 di 600.000 copie/mL, 130 linfociti CD4, 900 linfociti totali e un rapporto CD4/CD8 di 0,1. La sierologia di toxoplasma, il carico virale di CMV e l'antigene criptococcico nel sangue sono negativi. Il cervello RM è mostrato in figura. Qual è la diagnosi più probabile?:",https://compitoinclasse.org/simulatori/IMGmir/1991-dom.jpg,Toxoplasmosi cerebrale,Linfoma primario del sistema nervoso centrale,Leucoencefalopatia progressiva multifocale,Encefalite CMV,,Linfoma primario del sistema nervoso centrale,B,C,C,C
Infettivo e microbiologia,Quale trattamento consideri il più indicato?,https://compitoinclasse.org/simulatori/IMGmir/489-dom.jpg,Ceftriaxone 1 g/Giorno parenterale.,Doxiciclina 100 mg/L2H orale.,Paracetamolo 500 mg/6h orale.,Cloranfenicolo 500 mg/6h orale.,Amoxicillina/clavulanic L G/8H orale.,Doxiciclina 100 mg/L2H orale.,B,B,B,B
Infettivo e microbiologia,"Un paziente di 25 anni consulta una clinica febbre fino a 39 ° C e diarrea di circa 5 giorni di evoluzione. Spiega che 2 mesi fa ha fatto un viaggio di tre settimane attraverso varie aree rurali dell'India. Assicura di aver fatto la profilassi con una mefloquina settimanale prima, durante e 4 settimane dopo il viaggio, senza dimenticare alcun tiro. Tra i vari test, viene eseguita un'estensione del sangue periferica i cui risultati sono mostrati nell'immagine n. 12. Qual è la migliore delle seguenti affermazioni?",https://compitoinclasse.org/simulatori/IMGmir/941-dom.jpg,Si possono vedere 2 trofozoiti di P. vivax.,Osservare diversi granulociti in diverse fasi di maturazione.,Il più suggestivo è che è Schizontes di P. falciparum.,Si osservano globuli rossi frammentati e corpi di Howell-jolly.,Si tratta di eritroblasti circolanti.,Si possono vedere 2 trofozoiti di P. vivax.,A,D,D,D
Infettivo e microbiologia,"Un uomo di 47 anni, un fumatore attivo, con storia di abuso di droghe, va in emergenza per una scatola di 2 ore di evoluzione del dolore pleuritico a base di sinistra di inizio acuto e dispnea progressiva fino a quando non si basa. Nelle 2 settimane precedenti aveva presentato febbre, disagio generale e tosse secca. All'esplorazione, il paziente è gravemente colpito, è di 36 giri/min tachipneico, con circolazione sopraclavicolare, saturazione di ossigeno dell'81%, cianosi, sudore, sudorazione, tachicardia a 135 battiti al minuto e PA di 75/47 mm Hg. La trachea viene deviata sul lato destro e l'auscultazione dimostra la completa assenza di mormorio vescicolare nell'emitorace sinistro. Viene realizzata una sierologia HIV positiva e ha un numero di linfociti CD4 di 176 cellule/ml Qual è la diagnosi più probabile?",https://compitoinclasse.org/simulatori/IMGmir/249-dom.jpg,BURAGE BULA ENCEMATURA Subpleurale.,Polmonite batterica necrotizzante acquisita nella comunità.,Tubercolosi polmonare.,Polmonite di pneumocystis jiroveci.,,Polmonite di pneumocystis jiroveci.,D,B,B,B
Infettivo e microbiologia,Un'origine Maghreb di 40 anni si è consultata per inconvenienti non specifici in un epigastrio di 6 mesi di evoluzione. Non aveva la storia del consumo di alcol. Nell'esplorazione ha presentato una massa palpabile epigastrica come unica scoperta. La sierologia del virus dell'epatite B e C era negativa. L'ecografia e la tomografia epatica sono mostrate nell'immagine. Quale test diagnostico aiuta a confermare la diagnosi?,https://compitoinclasse.org/simulatori/IMGmir/923-dom.jpg,Risonanza magnetica nucleare.,Determinazione dell'antigene alfa-piedi e antigene antigene.,Sierologia echinococcus granulosus.,Serologia Segamoeba Sevoolytica.,Biopsia percutanea.,Sierologia echinococcus granulosus.,C,B,B,C
Cardiologia e cardiochirurgia,"Donna di 69 anni che si reca alla consultazione di cardiologia esterna facendo riferimento alla dispnea limitante degli sforzi di Pequeños moderati stabiliti negli ultimi mesi. L'elettrocardiogramma mostra fibrillazione atriale con risposta ventricolare controllata. L'esplorazione evidenzia un mormorio diastolico, eseguiamo un ecocardiogramma transracico. Quale pensi sia la diagnosi più probabile di questo paziente?",https://compitoinclasse.org/simulatori/IMGmir/1152-dom.jpg,Endocardite batterica.,Stenosi mitrale.,Miocardiopatia ipertrofica.,Insufficienza aortica.,,Stenosi mitrale.,B,B,B,B
Cardiologia e cardiochirurgia,"Uomo di 83 anni che va al dipartimento di emergenza per astenia, disagio e diarrea. Storia HTA, diabetica con malattia renale cronica (EFG 32 ml/min) e insufficienza cardiaca (Fe 30%). Nel trattamento con digossina, nebivololo, furosemide, allopurinolo, spironolattone, enalapril, atorvastatina e sigliptin. Nell'esplorazione, si distinguono segni di disidratazione mucosa. PA 90/44 mm/hg, FC 67 LPM. Analisi: HB 10,8 g/dL, glucosio 156 mg/dl, urea 125 mg/dl, creatinina 3.25 mg/dl, k 7,5 meq/l, Na 138 meq/l, pH 7,31, bicarbonato 16 mmol/l. Viene eseguito il seguente ECG. Qual è la prima misura da stabilire in questo paziente?",https://compitoinclasse.org/simulatori/IMGmir/1162-dom.jpg,Somministrare il 10% di gluconato di calcio IV.,Acidosi metabolica corretta con bicarbonato IV.,Rimozione del farmaco e Aggiungi resine di scambio ionico.,Emodialisi.,,Somministrare il 10% di gluconato di calcio IV.,A,C,C,C
Cardiologia e cardiochirurgia,"Una donna di 35 anni va in consultazione perché ha dolore al petto per lo sforzo. Non ha fattori di rischio cardiovascolare. Viene auscultato un respiro sistolico aoortico che aumenta con la manovra di Valsalva. L'ECG mostra ritmo sinusale, onde Q, disturbi della ripolarizzazione e criteri di ipertrofia ventricolare sinistra. Nella figura si può vedere un'immagine della sua ecocardiografia. Indica l'opzione falsa:",https://compitoinclasse.org/simulatori/IMGmir/241-dom.jpg,È una malattia ereditaria.,Questa malattia è associata a morte improvvisa.,La fibrillazione atriale ha una maggiore incidenza nelle persone con questa malattia.,La dispnea non apparirà fino a quando il paziente non svilupperà disfunzione sistolica ventricolare sinistra.,,La dispnea non apparirà fino a quando il paziente non svilupperà disfunzione sistolica ventricolare sinistra.,D,A,A,A
Cardiologia e cardiochirurgia,Qual è la diagnosi di sospetto della seguente immagine ecocardiografica?,https://compitoinclasse.org/simulatori/IMGmir/1161-dom.jpg,Dissezione aortica.,Stenosi aortica.,Endocardite aortica.,Mixoma valvolare aortico.,,Endocardite aortica.,C,B,B,B
Cardiologia e cardiochirurgia,"Uomo di 56 anni con una storia di ipertensione arteriosa e cancro al colon con metastasi epatiche, attualmente in trattamento chemioterapia. Vai alle urgenze di Dyspnea. COSTANTE: frequenza cardiaca 110 LPM, tensione di sangue 115/55 mmHg, frequenza respiratoria 29 rpm, Sato2 89 %. Esplorazione: uso della muscolatura respiratoria accessoria, mormorio vescicolare preservato in tutti i campi. Il primo test diagnostico disponibile è l'elettrocardiogramma. Qual è il sospetto clinico più probabile?:",https://compitoinclasse.org/simulatori/IMGmir/1631-dom.jpg,Fibrillazione atriale.,Tromboembolismo polmonare.,Sindrome coronarica senza elevazione del segmento ST (scasest).,Infarto miocardico diaframmatico acuto.,,Tromboembolismo polmonare.,B,A,A,A
Cardiologia e cardiochirurgia,"Maschio 57enne, senza noti fattori di rischio cardiovascolare, che va alla sua consultazione schiumando dispnea stabile di diversi mesi di evoluzione. Fornisce elettrocardiogramma di 12 derivazioni (immagine) e all'esame fisico un respiro sistolico sul bordo parasternnale sinistro è auscultato, la cui intensità e durata aumentano durante la manovra di Valsalva. Tra le seguenti patologie cardiache, qual è la diagnosi più probabile?",https://compitoinclasse.org/simulatori/IMGmir/2184-dom.jpg,Insufficienza tricuspide,Stenosi aortica,Miocardiopatia ipertrofica,Insufficienza mitrale,,Miocardiopatia ipertrofica,C,A,A,A
Cardiologia e cardiochirurgia,"L'uomo di 56 anni, fumatore attivo, non ipertensivo o dislifmico, che consulta perché 7 giorni fa ha presentato un disagio generale con dolore centrale e dispnea di sforzo, essendo asintomatico al momento della consultazione. Qual è la diagnosi più probabile, secondo il layout elettrocardiografico?:",https://compitoinclasse.org/simulatori/IMGmir/1622-dom.jpg,Tromboembolismo polmonare.,Miocardiopatia ipertrofica.,Necrosi e ischemia subepicardica anteriore.,Mipericardite acuta.,,Necrosi e ischemia subepicardica anteriore.,C,B,B,B
Cardiologia e cardiochirurgia,"Donna di 64 anni con una storia di diabete mellito, ipertensione arteriosa e obesità (indice di massa corporea 34) che viene trattata a casa sua dal servizio di emergenza dopo aver presentato durante il dolore al petto di riposo notturno, la sudorazione intensa, le vertigini e il vomito di due ore di due ore di evoluzione. Viene eseguito elettrocardiogramma urgente (immagine). All'esame fisico, vi è una leggera diminuzione del livello di coscienza, freddezza ACRA e pressione sanguigna di 75/30 mmHg, oltre ad un aumento della pressione venosa giugulare durante l'ispirazione e l'aspetto del polso paradossale, senza evidenza di edema polmonare in Auscultazione. Con i dati clinici, esplorativi ed elettrocardiografici esposti, quale complicazione dei sospetti di infarto in questo paziente?:",https://compitoinclasse.org/simulatori/IMGmir/1994-dom.jpg,Coinvolgimento del ventricolo destro,Interruzione del setto interventricolare basale,Rottura del muscolo papillare posteromediale mitralico,Pseudoaneurisma INFEROBASAL,,Coinvolgimento del ventricolo destro,A,A,A,A
