Category,Question,Image url,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Correct Answer,Correct Letter,Claude-3.5-Sonnet,GPT-4o,Gemini-2.0-Flash
Digestive and General Surgery,"36-year-old woman without a history of interest who goes to emergencies for retroetal inconvenience with swallowing, without infectious clinic or clinic. It refers to a picture of years of evolution of intermittent episodes of food detention at the retroesternal level after the intake of solids and liquids. It is accompanied by progressive weight loss. Blood analytics is normal. On the thorax radiography, mediastinal widening is observed, so the thoracic TC with intravenous contrast shown in the image. What is the most likely diagnosis?:",https://compitoinclasse.org/simulatori/IMGmir/2203-dom.jpg,Acalasia,Zenker's great esophageal diverticulum,Diffuse esophageal spasm,Food retention by submucoso tumor (leiomyome) obstructive in a esophageal distal third,,Acalasia,A,A,A,A
Digestive and General Surgery,"78-year-old patient, with a history of sigmoidectomy by diverticulitis 12 years ago. Consultation for abdominal distension, accompanied by diffuse abdominal pain, nausea and food vomiting, with scarce liquid deposits. On physical examination it is AFEBRIL, hemodynamically stable, with diffuse pain to the palpation of the abdomen, which is distended and typed without peritonism. Hydroaéreos noises are increased. Analytical studies, which include hemogram, biochemistry, hemostasis and gasometry, are normal. The image shows RX of abdomen and tac. What is the diagnosis?",https://compitoinclasse.org/simulatori/IMGmir/11-dom.jpg,Intestinal pseudoobstructure.,Intestinal occlusion by flanges.,Intestinal ischemia.,Colon cancer.,,Colon cancer.,D,D,D,D
Digestive and General Surgery,"82-year-old woman who goes to the emergency room for an abdominal pain located in right flank, irradiated behind the back and fever of 37.3 ºC. Abdominal ultrasound is performed that in the right hypochondrium shows the results of the image. What is the most likely diagnosis?:",https://compitoinclasse.org/simulatori/IMGmir/2187-dom.jpg,Acute cholecystitis,Caroli's disease,Gallbladder in porcelain,Biliary colic,,Acute cholecystitis,A,A,A,A
Digestive and General Surgery,"40-year-old patient, 25 package/year smoker. 20 UBES alcohol consumer (standard/day/day units) in recent months. Diagnosed with VHC infection 8 years ago without treatment. It recounts a block of abdominal pain of several days of evolution 2 months before which did not consult and that lasted approximately 1 week. Consult now for abdominal pain initially in epigastrium and subsequently diffuse. At the time of admission you can see bad general condition, edemas in lower extremities and a distended abdomen with signs of ascites. In the analytics practiced in a blood sample, the following data were appreciated: Creatinine 0.68 mg/dl (0.4- 1,2), glucose 84 mg/dl (75-115), AST 21 IU/L (0 -35), ALT 15 IU/L (0UI/L (0-35), Albumin 21 g/l (35-52), Bilirubin 0.6 mg/dl (03 (03-1.2), hemoglobin 10.7 g/dl, platelets 288,000/mm3, leukocytes 8.200/mm3, prothrombin time ratio 1.12 (0.8 (0.8-1, 2). Analytics: glucose 68 mg/dl, albumin 17 g/l, bilirubin 0.4 mg/dl, amylase 3200 U/L and 200 cells/mm3 (70% neutrophils). , the most likely diagnosis in this case?",https://compitoinclasse.org/simulatori/IMGmir/246-dom.jpg,Pancreatic pseudocyst with pancreatic ascites.,Pancreatic cystic neoplasia with carcinomatosis ascites.,Secondary peritonitis by drilling the digestive tract.,Ascitic decompensation in patient with advanced chronic liveropathy.,,Pancreatic pseudocyst with pancreatic ascites.,A,B,B,B
Digestive and General Surgery,Which of the following findings would not expect to find in the liquid shown in the image?,https://compitoinclasse.org/simulatori/IMGmir/244-dom.jpg,90 mg/dl triglycerides.,Total proteins 3 g/dl.,Leukocytes> 500/mm3.,Albumin gradient 0.9 g/dl.,,90 mg/dl triglycerides.,A,A,A,A
Digestive and General Surgery,"In the previous patient, which of the following treatments is indicated?",https://compitoinclasse.org/simulatori/IMGmir/693-dom.jpg,Biliary drainage by retrograde endoscopic route and systemic chemotherapy.,Cephalic duodenopancretectomy with vascular resection.,Hepatic embolization with spheres loaded with chemotherapy.,Transparieto-hepatic biliary drainage and systemic chemotherapy.,Corticosteroid treatment.,Cephalic duodenopancretectomy with vascular resection.,B,B,B,A
Digestive and General Surgery,"54-year-old male with a history of bronchial asthma. In a thoracic control TC, calcified liver lesions are observed. The study with an abdominal TC is completed where 3 hepatic cystic lesions are identified. Enucleation of the 3 lesions is performed, which measure 8, 3 and 3 cm. In the microscopic study, acellular membranes are observed. The macroscopy of one of the injuries is shown. What is the most likely diagnosis?:",https://compitoinclasse.org/simulatori/IMGmir/2191-dom.jpg,Complicated hemangioma,Calcified hepatocarcinoma,Hydatid cyst,Necrotic liver metastasis,,Hydatid cyst,C,C,C,C
Digestive and General Surgery,"A 68-year-old woman, diagnosed with hypercholesterolemia in simvastatin treatment, intense dysphagia and odinophagy consultation. Gastroscopy is performed (see image). Which of the following statements is correct?",https://compitoinclasse.org/simulatori/IMGmir/1393-dom.jpg,Citomegalovirus infection is the most frequent cause of these injuries in immunocompetent people.,The presence of giant cells and eosinophilic inclusion bodies in the histopathological study of biopsies would confirm the candidate etiology.,"The most likely etiology is pharmacological, given its current treatment with simvastatin.","Although there are no immunosuppression data, the herpetic etiology cannot be ruled out.",,"Although there are no immunosuppression data, the herpetic etiology cannot be ruled out.",D,D,D,D
Digestive and General Surgery,"40-year-old man without interest. For 4 weeks, a picture of diarrheal depositions, associated with leather jaundice and mucous membranes, coluria, hypocolia and pain in right hypochondrium, accompanied by weight loss (10 kg approx) and intense pruritus. In the analytics it stands out: Total bilirubin: 15.3 mg/dl. Alanine-aminotransferase: 70 U/L aspartatoaminotransferase: 85 U/1. Serology for negative hepatitis and elevation of CA 19-9. Abdominal TC is performed. 3 axial sections are shown. In relation to the findings of the radiological test, which of the following statements is true?",https://compitoinclasse.org/simulatori/IMGmir/692-dom.jpg,A tumor mass is observed in pancreas head that conditions biliary and ductal dilation compatible with adenocarcinoma.,Presence of diffuse greasement of the pancreas with Wirsung arrosariado compatible with lymphoplasmocyte pancreatitis.,A tumor mass is identified in vesicular infundibulum compatible with vesicular adenocarcinoma.,Voluminous tumor adenopathies are observed in hepatic hilum that produce dilation of the bile duct.,Presence of multiple solid hepatic focal lesions compatible with diffuse liver metastases.,A tumor mass is observed in pancreas head that conditions biliary and ductal dilation compatible with adenocarcinoma.,A,A,A,A
Digestive and General Surgery,"44-year-old patient with injury (16x8x12 cm) of rapid growth that interests soft parts of the proximal third of the right thigh. He says that he has begun to notice the dough, which has a hard consistency and is attached to deep planes, in the last 6 months. He usually played sports, getting to have finished a marathon. Collateral circulation exploration is observed, but right inguinal adenopathies are not palpated. After the biopsy it is confirmed that it is an indifferent high -grade pleomorphic sarcomorphic, which in image studies is proximal to the minor trochanter. The extension TC is negative. What would be your therapeutic attitude?:",https://compitoinclasse.org/simulatori/IMGmir/1810-dom.jpg,Hip upset.,Treatment with Ifosfamide and Tamoxifen for 6 cycles prior to resection surgery to reduce the size of the lesion.,Marginal surgery removing pseudocapsule that these tumors usually form in response to their rapid growth.,Modified right heipelvectomy.,,Modified right heipelvectomy.,D,C,C,C
Digestive and General Surgery,"The patient of the previous case, being in clinical remission and given the persistent elevation of cholestasis enzymes is diagnosed 4 years later of primary sclerosing cholangitis by means of magnetic cholangiosonance; When should I start starting a colorectal carcinoma screening program by annual colonoscopy?",https://compitoinclasse.org/simulatori/IMGmir/920-dom.jpg,"At the usual age of screening in the general population, 50 years.",10 years before the usual age recommended for screening in the general population.,At 20 years of evolution of the disease.,Between the 8 and 10 years of evolution of the disease.,At the time of diagnosis of sclerosing cholangitis.,At the time of diagnosis of sclerosing cholangitis.,E,E,E,E
Digestive and General Surgery,84-year-old woman with a history of cholecystectomy that presents abdominal pain and jaundice. An endoscopic retrograde cholangiopancreatography was performed (CPRE). What is the correct diagnosis?,https://compitoinclasse.org/simulatori/IMGmir/1154-dom.jpg,Mirizzi syndrome.,Pancreas neoplasia.,COLEDOCOLITISIS.,Post -surgical stenosis of the bile duct.,,COLEDOCOLITISIS.,C,B,C,B
Digestive and General Surgery,58-year-old patient with long -evolving pyosis clinic. A high digestive endoscopy is performed in the image. What is the most likely diagnosis?,https://compitoinclasse.org/simulatori/IMGmir/12-dom.jpg,Barrett esophagus.,Peptic esophagitis.,Eosinophilic esophagitis.,Mallory-Weiss disease.,,Barrett esophagus.,A,C,A,C
Infectious and microbiology,"32-year-old male who is receiving pre-exposure to HIV. Consultation for presenting for two days procalgia intense, affectation of the general state and fever. In the exploration, inguinal adenopathies are palpated and the perianal skin lesions that are shown in the image are observed. What is the most likely diagnosis?:",https://compitoinclasse.org/simulatori/IMGmir/2190-dom.jpg,Monkey smallpox,Genital herpes,Primary syphilis,HIV cousin injury,,Monkey smallpox,A,A,A,A
Infectious and microbiology,"25-year-old man without personal history of interest who goes to the dermatology consultation because for 4 weeks the appearance of velvety papules in the perianal area (image), asymptomatic, which are increased in number gradually. Which of the following diagnoses is most likely?:",https://compitoinclasse.org/simulatori/IMGmir/2393-dom.jpg,Condyloma can,Molluscum contagiosum,Accumulated condiloma,Lican flat,,Accumulated condiloma,C,D,D,D
Infectious and microbiology,"56-year-old male with a history of HIV infection diagnosed a few months ago, which is found confusing, disoriented and with right hemiparesis. The family refers that it presents a significant loss of weight in the last 6 months, as well as frequent diarrhea. Antiretroviral treatment has not begun due to personal desire. The analysis shows a viral HIV-1 load of 600,000 copies/ml, 130 CD4 lymphocytes, 900 total lymphocytes and a CD4/CD8 ratio of 0.1. Toxoplasma serology, the viral load of CMV and the blood cryptococcal antigen are negative. The brain RM is shown in the figure. What is the most likely diagnosis?:",https://compitoinclasse.org/simulatori/IMGmir/1991-dom.jpg,Cerebral toxoplasmosis,Primary lymphoma of the central nervous system,Progressive multifocal leucoencephalopathy,CMV encephalitis,,Primary lymphoma of the central nervous system,B,C,C,C
Infectious and microbiology,What treatment do you consider the most indicated?,https://compitoinclasse.org/simulatori/IMGmir/489-dom.jpg,Ceftriaxone 1 g/parenteral day.,Doxycycline 100 mg/l2h oral.,Paracetamol 500 mg/6h oral.,Chloranfenicol 500 mg/6h oral.,Amoxicillin/Clavulanic L G/8h Oral.,Doxycycline 100 mg/l2h oral.,B,B,B,B
Infectious and microbiology,"A 25-year-old patient consults for a fever clinic of up to 39 ° C and diarrhea of ​​about 5 days of evolution. He explains that 2 months ago he made a three -week trip through various rural areas of India. He assures that he made prophylaxis with a weekly mefloquine before, during and 4 weeks after the trip, without forgetting any shot. Among the various tests, a peripheral blood extension is carried out whose findings are shown in Image No. 12. Which is the best of the following statements?",https://compitoinclasse.org/simulatori/IMGmir/941-dom.jpg,2 trophozoites of P. vivax can be seen.,Observe several granulocytes in different maturation stages.,The most suggestive is that it is schizontes of P. Falciparum.,Fragmented red blood cells and Howell-Jolly bodies are observed.,It is about circulating erythroblasts.,2 trophozoites of P. vivax can be seen.,A,D,D,D
Infectious and microbiology,"A 47-year-old man, an active smoker, with history of drug abuse parenterally goes to emergency for a 2 -hour box of evolution of pleuritic left -handed pain of acute start and progressive dyspnea until it rests. In the previous 2 weeks he had presented fever, general discomfort and dry cough. To the exploration, the patient is seriously impressed, is 36 rpm tachypneic, with supraclavicular circulation, oxygen saturation by 81%, cyanosis, sweat, sweating, tachycardia at 135 beats per minute and PA of 75/47 mm Hg. The trachea is diverted to the right side and auscultation demonstrates complete absence of vesicular murmur in left hemithorax. An HIV serology is made that is positive and has a CD4 lymphocyte count of 176 cells/ml What is the most likely diagnosis?",https://compitoinclasse.org/simulatori/IMGmir/249-dom.jpg,Subpleural emphysematous bulla breakage.,Necrotizing bacterial pneumonia acquired in the community.,Pulmonary tuberculosis.,Pneumocystis jiroveci pneumonia.,,Pneumocystis jiroveci pneumonia.,D,B,B,B
Infectious and microbiology,A 40-year-old Maghreb origin consulted for nonspecific inconvenience in an epigastrium of 6 months of evolution. He had no alcohol consumption history. In the exploration he presented an epigastric palpable mass as the only finding. Hepatitis B and C virus serology was negative. Hepatic computerized ultrasound and tomography are shown in the image. What diagnostic test helps to confirm the diagnosis?,https://compitoinclasse.org/simulatori/IMGmir/923-dom.jpg,Nuclear magnetic resonance.,Determination of alpha-feetoprotein and antigen-carrium antigen.,Echinococcus granulosus serology.,SEGAMOEBA SEVOOLYTICA SEROLOGY.,Percutaneous biopsy.,Echinococcus granulosus serology.,C,B,B,C
Cardiology and cardiac surgery,"69-year-old woman who goes to the external cardiology consultation by referring limiting dyspnea of ​​moderate-pequeños efforts established in recent months. The electrocardiogram shows atrial fibrillation with controlled ventricular response. The exploration highlights a diastolic murmur, we perform a transtoracic echocardiogram. What do you think is the most likely diagnosis of this patient?",https://compitoinclasse.org/simulatori/IMGmir/1152-dom.jpg,Bacterial endocarditis.,Mitral stenosis.,Hypertrophic myocardiopathy.,Aortic insufficiency.,,Mitral stenosis.,B,B,B,B
Cardiology and cardiac surgery,"83-year-old man who goes to the emergency department for Astenia, discomfort and diarrhea. HTA history, diabetic with chronic kidney disease (EFG 32 ml/min) and heart failure (Fe 30%). In treatment with digoxin, nebivolol, furosemide, allopurinol, spironolactone, enalapril, atorvastatin and sigliptin. In the exploration, signs of mucous dehydration stand out. PA 90/44 mm/Hg, FC 67 LPM. Analysis: HB 10.8 g/dl, glucose 156 mg/dl, urea 125 mg/dl, creatinine 3.25 mg/dl, k 7.5 meq/l, na 138 meq/l, pH 7.31, bicarbonate 16 mmol/l. The following ECG is performed. What is the first measure to establish in this patient?",https://compitoinclasse.org/simulatori/IMGmir/1162-dom.jpg,Administer 10% calcium gluconate IV.,Correct metabolic acidosis with bicarbonate IV.,Drug removal and add ion exchange resins.,Hemodialysis.,,Administer 10% calcium gluconate IV.,A,C,C,C
Cardiology and cardiac surgery,"A 35-year-old woman goes to consultation because she has chest pain to the effort. It has no cardiovascular risk factors. A systolic breath in aortic focus is auscultated that increases with the Valsalva maneuver. The ECG shows sinus rhythm, Q waves, repolarization disorders and left ventricular hypertrophy criteria. In the figure an image of its echocardiography can be seen. Point out the false option:",https://compitoinclasse.org/simulatori/IMGmir/241-dom.jpg,It is a hereditary disease.,This disease is associated with sudden death.,Atrial fibrillation has a greater incidence in people with this disease.,Dyspnea will not appear until the patient develops left ventricular systolic dysfunction.,,Dyspnea will not appear until the patient develops left ventricular systolic dysfunction.,D,A,A,A
Cardiology and cardiac surgery,What is the diagnosis of suspicion of the following echocardiographic image?,https://compitoinclasse.org/simulatori/IMGmir/1161-dom.jpg,Aortic dissection.,Aortic stenosis.,Aortic endocarditis.,Aortic valvular mixoma.,,Aortic endocarditis.,C,B,B,B
Cardiology and cardiac surgery,"56-year-old man with a history of arterial hypertension and colon cancer with liver metastases, currently in chemotherapy treatment. Go to urgencies by dyspnea. Constant: Heart rate 110 LPM, Blood voltage 115/55 mmhg, respiratory rate 29 RPM, Sato2 89 %. Exploration: Use of accessory respiratory musculature, vesicular murmur preserved in all fields. The first diagnostic test available is the electrocardiogram. What is the most likely clinical suspicion?:",https://compitoinclasse.org/simulatori/IMGmir/1631-dom.jpg,Atrial fibrillation.,Pulmonary thromboembolism.,Coronary syndrome without elevation of the ST (SCASEST) segment.,Acute diaphragmatic myocardial infarction.,,Pulmonary thromboembolism.,B,A,A,A
Cardiology and cardiac surgery,"57-year-old male, without known cardiovascular risk factors, who goes to his consultation by foaming stable effort dyspnea of ​​several months of evolution. It provides electrocardiogram of 12 derivations (image) and on physical examination a systolic breath on the left parasternal edge is auscultated, whose intensity and duration increase during the Valsalva maneuver. Among the following cardiac pathologies, what is the most likely diagnosis?",https://compitoinclasse.org/simulatori/IMGmir/2184-dom.jpg,Tricuspid insufficiency,Aortic stenosis,Hypertrophic myocardiopathy,Mitral insufficiency,,Hypertrophic myocardiopathy,C,A,A,A
Cardiology and cardiac surgery,"56-year-old man, active smoker, not hypertensive or dysliphemic, who consults because 7 days ago he presented general discomfort with central -corted pain and dyspnea of ​​effort, being asymptomatic at the time of consultation. What is the most likely diagnosis, according to the electrocardiographic layout?:",https://compitoinclasse.org/simulatori/IMGmir/1622-dom.jpg,Pulmonary thromboembolism.,Hypertrophic myocardiopathy.,Necrosis and anterior subepicardial ischemia.,Acute mypericarditis.,,Necrosis and anterior subepicardial ischemia.,C,B,B,B
Cardiology and cardiac surgery,"64-year-old woman with a history of diabetes mellitus, arterial hypertension and obesity (body mass index 34) who is treated at her home by the emergency service after presenting during the night rest chest pain, intense sweating, dizziness and vomiting of two hours of two hours of evolution. Urgent electrocardiogram (image) is performed. On physical examination, there is a slight decrease in the level of consciousness, acra coldness and blood pressure of 75/30 mmhg, in addition to an increase in jugular venous pressure during inspiration and the appearance of paradoxical pulse, without evidence of pulmonary edema in Auscultation. With the clinical, exploratory and electrocardiographic data exposed, what complication of the infarction suspects in this patient?:",https://compitoinclasse.org/simulatori/IMGmir/1994-dom.jpg,Right ventricle involvement,Basal interventricular septum break,Mitral posteromedial papillary muscle rupture,Pseudoaneurisma inferobasal,,Right ventricle involvement,A,A,A,A
Cardiology and cardiac surgery,"Before the following ECG and knowing that it corresponds to a 78-year-old patient with an a history of extensive previous infarction and residual moderate ventricular dysfunction, what would be his first diagnostic suspicion?",https://compitoinclasse.org/simulatori/IMGmir/6-dom.jpg,Atrial tachycardia.,Supraventricular tachycardia by intranodal reentry.,Ventricular tachycardia.,Atypical atrial flutter.,,Ventricular tachycardia.,C,D,D,D
Cardiology and cardiac surgery,"51-year-old woman with a history of type I diabetes mellitus and long -evolution arterial hypertension. In renal substitute treatment by hemodialysis for 14 years as a result of a chronic renal disease Stadium 5. During one of the dialysis sessions refers to centro -centered pain and sudden appearance dyspnea. Hemodynamic constants are normal. Intravenous nitroglycerin is guided for the correction of chest pain, which gives in about fifteen minutes. Electrocardiograms made with and without chest pain are shown. There was no posterior elevation of myocardial necrosis enzymes. What is the diagnosis of suspicion and the attitude to follow?:",https://compitoinclasse.org/simulatori/IMGmir/2183-dom.jpg,Acute coronary syndrome without high -risk segment elevation. You must enter a unit with continuous electrocardiographic surveillance with early coronaryography recommendation (≤48 h),"Acute coronary syndrome without elevation of the ST segment, of moderate risk. You must enter a unit with continuous electrocardiographic surveillance, with initial recommendation of deferred coronaryography (> 48 h)","Acute coronary syndrome without elevation of the ST segment, low risk. You must enter conventional hospitalization plant with recommendation of the ischemia induction test before hospital discharge and deferred coronaryography according to the result",Electrocardiographic changes are not diagnosis of acute coronary syndrome and are considered secondary to hemodialysis. Does not need hospital admission,,Acute coronary syndrome without high -risk segment elevation. You must enter a unit with continuous electrocardiographic surveillance with early coronaryography recommendation (≤48 h),A,C,C,C
Cardiology and cardiac surgery,"58-year-old patient who goes to the emergency room for presenting frequent sudden start tachycardia. The patient has no personal history of interest except for the history of tachycardia for a few years, especially related to postural changes accompanied by dizziness and chest pain. The figure shows an ECG layout to its admission in the emergency room, where the patient stated that tachycardia was having incessant behavior, starting and ending spontaneously on multiple occasions. In his opinion the most likely diagnosis in this patient is:",https://compitoinclasse.org/simulatori/IMGmir/933-dom.jpg,Recentrgrade tachycardia ventricular atullection mediated by a slow intranodal.,Brugada syndrome associated with tachycardia.,Wolff-Parkinson-White syndrome and atrial fibrillation.,Ventricular tachycardia.,Accessory Ventricular Auricle and Orthodromic Reentrada Tachycardia.,Accessory Ventricular Auricle and Orthodromic Reentrada Tachycardia.,E,E,E,E
Cardiology and cardiac surgery,"75-year-old man without cardiovascular risk factors. He goes to his health center for dyspnea of ​​moderate efforts of a year of evolution, which in recent weeks appears in the face of small efforts. On physical examination, a rude systolic breath is auscultated in the 2nd intercostal space, irradiated to carotids with erasure of the 2nd cardiac tone. An echocardiogram is practiced that shows a normal biventricular function and a thickening of one of the heart valves that presents an area of ​​0.95 cm2 (image). What is the most likely diagnosis and the therapeutic attitude to follow?:",https://compitoinclasse.org/simulatori/IMGmir/2401-dom.jpg,Severe aortic valvular stenosis indicating valvular replacement.,Moderate aortic valvular stenosis with an indication of outpatient clinical monitoring.,Severe mitral stenosis indicating valvular replacement.,Moderate mitral stenosis indicating outpatient clinical monitoring.,,Severe aortic valvular stenosis indicating valvular replacement.,A,A,A,A
Cardiology and cardiac surgery,60-year-old patient who goes to the emergency room for a feeling of dizziness and sweating half an hour of evolution. What alteration do we find in your electrocardiogram?:,https://compitoinclasse.org/simulatori/IMGmir/1811-dom.jpg,Sinus tachycardia,Atrial flutter,Frequent headphones extrasistles,Atrial fibrillation,,Atrial fibrillation,D,D,D,D
Cardiology and cardiac surgery,"53-year-old woman, with a history of breast carcinoma in stage IV, diagnosed in 2017, in monitoring of oncology. Go to the emergency service for rest of rest and general discomfort of one week of evolution. The physical examination stands out tachypnea at 28 breaths/minute, heart rate 130 LPM, PA 80/50 mmhg and jugular venous distension. With respect to the findings of the ECG that is made (image) and clinical suspicion, indicate the correct answer:",https://compitoinclasse.org/simulatori/IMGmir/1388-dom.jpg,The diagnostic choice image test is an urgent transtoracic echocardiogram.,The pace that is observed is flutter (flutter) common headset with driving 2: 1.,It presents electrocardiographic criteria of right ventricular overload.,"Given the clinical suspicion, the intravenous handle diuretic administration should be initiated to reduce venousic congestion.",,The diagnostic choice image test is an urgent transtoracic echocardiogram.,A,A,A,A
